date;country;empty;totalC;newC;totalD;newD;totalR;activeC;serious;1MpopC;1MpopD;totalT;tests1M;continent
04191800;USA;;741230;+2438;39103;+89;68610;633517;13551;2239;118;3744056;11311;NorthAmerica
04191800;Spain;;195944;+1528;20453;+410;77357;98134;7371;4191;437;930230;19896;Europe
04191800;Italy;;175925;;23227;;44927;107771;2733;2910;384;1305833;21598;Europe
04191800;France;;151793;;19323;;35983;96487;5833;2325;296;463662;7103;Europe
04191800;Germany;;144348;+624;4547;+9;88000;51801;2922;1723;54;1728357;20629;Europe
04191800;UK;;120067;+5850;16060;+596;N/A;103663;1559;1769;237;482063;7101;Europe
04191800;Turkey;;82329;;1890;;10453;69986;1894;976;22;598933;7101;Asia
04191800;Iran;;82211;+1343;5118;+87;57023;20070;3456;979;61;341662;4068;Asia
04191800;Russia;;42853;+6060;361;+48;3291;39201;8;294;2;1940000;13294;Europe
04191800;Belgium;;38496;+1313;5683;+230;8757;24056;1081;3322;490;153778;13269;Europe
04191800;Brazil;;36925;+203;2372;+11;14026;20527;6634;174;11;62985;296;SouthAmerica
04191800;Canada;;33951;+568;1509;+39;11207;21235;557;900;40;536062;14203;NorthAmerica
04191800;Netherlands;;32655;+1066;3684;+83;250;28721;1279;1906;215;154911;9041;Europe
04191800;Switzerland;;27740;+336;1381;+13;17100;9259;386;3205;160;221263;25566;Europe
04191800;Portugal;;20206;+521;714;+27;610;18882;224;1982;70;235878;23133;Europe
04191800;India;;16960;+595;550;+29;2745;13665;;12;0.4;372123;270;Asia
04191800;Ireland;;14758;;571;;77;14110;294;2989;116;90646;18358;Europe
04191800;Austria;;14749;+78;452;+9;10501;3796;204;1638;50;179243;19902;Europe
04191800;Peru;;14420;;348;;6684;7388;117;437;11;135895;4122;SouthAmerica
04191800;Sweden;;14385;+563;1540;+29;550;12295;450;1424;152;74600;7387;Europe
04191800;Israel;;13362;+97;171;+7;3564;9627;156;1544;20;187250;21634;Asia
04191800;Japan;;10797;+501;222;;1159;9416;217;85;2;112816;892;Asia
04191800;S. Korea;;10661;+8;234;+2;8042;2385;55;208;5;559109;10905;Asia
04191800;Chile;;10088;+358;133;+7;4338;5617;360;528;7;108891;5696;SouthAmerica
04191800;Saudi Arabia;;9362;+1088;97;+5;1398;7867;97;269;3;180000;5170;Asia
04191800;Poland;;9287;+545;360;+13;1040;7887;160;245;10;204246;5397;Europe
04191800;Ecuador;;9022;;456;;1008;7558;168;511;26;30922;1753;SouthAmerica
04191800;Romania;;8746;+328;445;+24;1892;6409;256;455;23;93611;4866;Europe
04191800;Pakistan;;8348;+710;168;+25;1868;6312;46;38;0.8;98522;446;Asia
04191800;Mexico;;7497;+622;650;+104;2627;4220;207;58;5;49167;381;NorthAmerica
04191800;Denmark;;7384;+142;355;+9;4141;2888;76;1275;61;94277;16277;Europe
04191800;Norway;;7078;+42;165;+1;32;6881;58;1306;30;142166;26224;Europe
04191800;UAE;;6781;+479;41;+4;1286;5454;1;686;4;767000;77550;Asia
04191800;Czechia;;6657;+51;181;;1235;5241;84;622;17;168096;15697;Europe
04191800;Australia;;6612;+26;71;+1;4230;2311;48;259;3;420996;16510;Australia/Oceania
04191800;Singapore;;6588;+596;11;;768;5809;22;1126;2;94796;16203;Asia
04191800;Indonesia;;6575;+327;582;+47;686;5307;;24;2;42219;154;Asia
04191800;Serbia;;6318;+324;122;+5;753;5443;120;723;14;38701;4429;Europe
04191800;Philippines;;6259;+172;409;+12;572;5278;1;57;4;59928;547;Asia
04191800;Ukraine;;5449;+343;141;+8;347;4961;45;125;3;57111;1306;Europe
04191800;Qatar;;5448;+440;8;;518;4922;37;1891;3;62538;21707;Asia
04191800;Malaysia;;5389;+84;89;+1;3197;2103;46;167;3;103892;3210;Asia
04191800;Belarus;;4779;;47;+2;494;4238;65;506;5;98231;10396;Europe
04191800;Dominican Republic;;4680;+345;226;+9;363;4091;146;431;21;15583;1436;NorthAmerica
04191800;Panama;;4273;+63;120;+4;140;4013;96;990;28;19091;4425;NorthAmerica
04191800;Finland;;3783;+102;94;+4;1700;1989;68;683;17;57300;10342;Europe
04191800;Colombia;;3621;;166;;691;2764;98;71;3;59002;1160;SouthAmerica
04191800;Luxembourg;;3537;;72;;601;2864;32;5650;115;33252;53120;Europe
04191800;South Africa;;3034;;52;;903;2079;36;51;0.9;108021;1821;Africa
04191800;Egypt;;3032;;224;;701;2107;;30;2;55000;537;Africa
04191800;Argentina;;2839;;132;;709;1998;123;63;3;32712;724;SouthAmerica
04191800;Morocco;;2820;+135;138;+1;322;2360;1;76;4;14189;384;Africa
04191800;Thailand;;2765;+32;47;;1928;790;61;40;0.7;100498;1440;Asia
04191800;Algeria;;2629;+95;375;+8;1047;1207;40;60;9;6500;148;Africa
04191800;Bangladesh;;2456;+312;91;+7;75;2290;1;15;0.6;23941;145;Asia
04191800;Moldova;;2351;;62;+5;457;1832;80;583;15;9848;2441;Europe
04191800;Greece;;2235;;110;;269;1856;67;214;11;53290;5113;Europe
04191800;Hungary;;1916;+82;189;+17;250;1477;61;198;20;46353;4798;Europe
04191800;Kuwait;;1915;+164;7;+1;305;1603;38;448;2;;;Asia
04191800;Bahrain;;1873;+100;7;;759;1107;2;1101;4;85126;50028;Asia
04191800;Croatia;;1871;+39;47;+8;709;1115;23;456;11;24186;5891;Europe
04191800;Iceland;;1771;+11;9;;1291;471;3;5190;26;41091;120416;Europe
04191800;Kazakhstan;;1676;+61;17;;400;1259;22;89;0.9;100878;5373;Asia
04191800;Uzbekistan;;1543;+53;5;;225;1313;8;46;0.1;136000;4063;Asia
04191800;Estonia;;1528;+16;40;+2;164;1324;10;1152;30;40333;30405;Europe
04191800;Iraq;;1513;;82;;953;478;;38;2;53955;1341;Asia
04191800;New Zealand;;1431;+9;12;+1;912;507;18;297;2;83224;17258;Australia/Oceania
04191800;Azerbaijan;;1398;+25;19;+1;712;667;21;138;2;95747;9443;Asia
04191800;Slovenia;;1330;+13;74;+4;192;1064;26;640;36;41265;19849;Europe
04191800;Lithuania;;1298;+59;35;+2;242;1021;14;477;13;64035;23522;Europe
04191800;Armenia;;1291;+43;20;;545;726;30;436;7;12680;4279;Asia
04191800;Bosnia and Herzegovina;;1285;+17;48;+1;347;890;4;392;15;17818;5431;Europe
04191800;Oman;;1266;+86;7;+1;233;1026;3;248;1;;;Asia
04191800;North Macedonia;;1207;+37;51;+2;179;977;15;579;24;11870;5697;Europe
04191800;Slovakia;;1161;+72;12;+1;229;920;10;213;2;44276;8110;Europe
04191800;Hong Kong;;1026;+2;4;;602;420;8;137;0.5;131786;17579;Asia
04191800;Cameroon;;1017;;42;;305;670;33;38;2;;;Africa
04191800;Afghanistan;;993;+60;32;+2;131;830;;26;0.8;;;Asia
04191800;Cuba;;986;;32;;227;727;15;87;3;25309;2234;NorthAmerica
04191800;Bulgaria;;894;+16;42;+1;161;691;36;129;6;26417;3802;Europe
04191800;Tunisia;;866;;37;;43;786;33;73;3;15332;1297;Africa
04191800;Ghana;;834;;9;;99;726;4;27;0.3;60916;1960;Africa
04191800;Ivory Coast;;801;;8;;239;554;;30;0.3;;;Africa
04191800;Cyprus;;767;+6;12;;81;674;15;635;10;34087;28233;Asia
04191800;Djibouti;;732;;2;;76;654;;741;2;7486;7577;Africa
04191800;Latvia;;727;+15;5;;88;634;5;385;3;35881;19023;Europe
04191800;Andorra;;713;+9;36;+1;235;442;17;9228;466;1673;21653;Europe
04191800;Lebanon;;673;+1;21;;99;553;27;99;3;20929;3066;Asia
04191800;Costa Rica;;655;;4;;97;554;10;129;0.8;10138;1990;NorthAmerica
04191800;Niger;;639;;19;;113;507;;26;0.8;4715;195;Africa
04191800;Burkina Faso;;565;;36;;321;208;;27;2;;;Africa
04191800;Albania;;562;+14;26;;314;222;5;195;9;5542;1926;Europe
04191800;Kyrgyzstan;;554;+48;5;;133;416;5;85;0.8;26147;4008;Asia
04191800;Nigeria;;542;;19;;166;357;2;3;0.09;7153;35;Africa
04191800;Bolivia;;520;+27;32;+1;31;457;3;45;3;3569;306;SouthAmerica
04191800;Guinea;;518;;3;;65;450;;39;0.2;;;Africa
04191800;Uruguay;;517;;10;+1;298;209;14;149;3;13207;3802;SouthAmerica
04191800;Channel Islands;;484;;21;;73;390;;2784;121;3320;19095;Europe
04191800;Honduras;;472;+15;46;;15;411;10;48;5;2535;256;NorthAmerica
04191800;San Marino;;461;+6;39;;60;362;4;13586;1149;1711;50426;Europe
04191800;Palestine;;431;+13;2;;71;358;;84;0.4;17329;3397;Asia
04191800;Malta;;427;+1;3;;118;306;2;967;7;23253;52663;Europe
04191800;Taiwan;;420;+22;6;;189;225;;18;0.3;53005;2226;Asia
04191800;Jordan;;413;;7;;269;137;5;40;0.7;20500;2009;Asia
