date;country;empty;totalC;newC;totalD;newD;totalR;activeC;serious;1MpopC;1MpopD;totalT;tests1M;continent
04210300;USA;;792759;;42514;;72389;677856;13951;2395;128;4026360;12164;NorthAmerica
04210300;Spain;;200210;;20852;;80587;98771;7371;4282;446;930230;19896;Europe
04210300;Italy;;181228;;24114;;48877;108237;2573;2997;399;1398024;23122;Europe
04210300;France;;155383;;20265;;37409;97709;5683;2380;310;463662;7103;Europe
04210300;Germany;;147065;;4862;;91500;50703;2889;1755;58;1728357;20629;Europe
04210300;UK;;124743;;16509;;N/A;107890;1559;1838;243;501379;7386;Europe
04210300;Turkey;;90980;;2140;;13430;75410;1909;1079;25;673980;7991;Asia
04210300;Iran;;83505;;5209;;59273;19023;3389;994;62;353012;4203;Asia
04210300;Russia;;47121;;405;;3446;43270;700;323;3;2053319;14070;Europe
04210300;Brazil;;40743;;2587;;22130;16026;7919;192;12;291922;1373;SouthAmerica
04210300;Belgium;;39983;;5828;;8895;25260;1071;3450;503;161896;13969;Europe
04210300;Canada;;36829;;1690;;12586;22553;557;976;45;559578;14826;NorthAmerica
04210300;Netherlands;;33405;;3751;;N/A;29404;1158;1950;219;171415;10004;Europe
04210300;Switzerland;;27944;;1429;;18600;7915;386;3229;165;224442;25933;Europe
04210300;Portugal;;20863;;735;;610;19518;215;2046;72;235878;23133;Europe
04210300;India;;18539;;592;;3273;14674;;13;0.4;401586;291;Asia
04210300;Peru;;16325;;445;;6968;8912;385;495;13;148011;4489;SouthAmerica
04210300;Ireland;;15652;;687;;77;14888;294;3170;139;90646;18358;Europe
04210300;Austria;;14795;;470;;10631;3694;194;1643;52;182949;20313;Europe
04210300;Sweden;;14777;;1580;;550;12647;521;1463;156;74600;7387;Europe
04210300;Israel;;13713;;177;;4049;9487;149;1584;20;240303;27763;Asia
04210300;Japan;;11135;;263;;1239;9633;217;88;2;116725;923;Asia
04210300;S. Korea;;10674;;236;;8114;2324;55;208;5;563035;10982;Asia
04210300;Chile;;10507;;139;;4676;5692;377;550;7;118827;6216;SouthAmerica
04210300;Saudi Arabia;;10484;;103;;1490;8891;88;301;3;180000;5170;Asia
04210300;Ecuador;;10128;;507;;1150;8471;124;574;29;32453;1839;SouthAmerica
04210300;Poland;;9593;;380;;1133;8080;160;253;10;214236;5661;Europe
04210300;Romania;;8936;;478;;2017;6441;261;465;25;98491;5120;Europe
04210300;Pakistan;;8892;;176;;1970;6746;46;40;0.8;104302;472;Asia
04210300;Mexico;;8772;+511;712;+26;2627;5433;207;68;6;49570;384;NorthAmerica
04210300;Singapore;;8014;;11;;801;7202;23;1370;2;94796;16203;Asia
04210300;Denmark;;7515;;364;;4312;2839;84;1297;63;96244;16616;Europe
04210300;UAE;;7265;;43;;1360;5862;1;735;4;790000;79875;Asia
04210300;Norway;;7156;;181;;32;6943;58;1320;33;143255;26425;Europe
04210300;Czechia;;6900;;194;;1559;5147;84;644;18;172123;16073;Europe
04210300;Indonesia;;6760;;590;;747;5423;;25;2;43749;160;Asia
04210300;Serbia;;6630;;125;;870;5635;108;759;14;41812;4785;Europe
04210300;Australia;;6625;;71;;4258;2296;49;260;3;431734;16931;Australia/Oceania
04210300;Philippines;;6459;;428;;613;5418;1;59;4;59928;547;Asia
04210300;Belarus;;6264;;51;;514;5699;92;663;5;102556;10853;Europe
04210300;Qatar;;6015;;9;;555;5451;37;2088;3;64620;22429;Asia
04210300;Ukraine;;5710;;151;;359;5200;45;131;3;58093;1328;Europe
04210300;Malaysia;;5425;;89;;3295;2041;45;168;3;108216;3344;Asia
04210300;Dominican Republic;;4964;;235;;416;4313;128;458;22;57809;5329;NorthAmerica
04210300;Panama;;4467;;126;;165;4176;98;1035;29;19091;4425;NorthAmerica
04210300;Colombia;;3977;;189;;804;2984;98;78;4;65169;1281;SouthAmerica
04210300;Finland;;3868;;98;;2000;1770;67;698;18;59200;10685;Europe
04210300;Luxembourg;;3558;;75;;637;2846;32;5684;120;33798;53992;Europe
04210300;Egypt;;3333;;250;;821;2262;;33;2;55000;537;Africa
04210300;South Africa;;3300;;58;;1055;2187;36;56;1.0;121510;2049;Africa
04210300;Morocco;;3046;;143;;350;2553;1;83;4;16386;444;Africa
04210300;Argentina;;3031;;142;;737;2152;123;67;3;34568;765;SouthAmerica
04210300;Bangladesh;;2948;;101;;85;2762;1;18;0.6;26604;162;Asia
04210300;Thailand;;2792;;47;;1999;746;61;40;0.7;142589;2043;Asia
04210300;Algeria;;2718;;384;;1099;1235;40;62;9;6500;148;Africa
04210300;Moldova;;2548;;70;;457;2021;212;632;17;11763;2916;Europe
04210300;Greece;;2245;;116;;577;1552;61;215;11;54344;5214;Europe
04210300;Kuwait;;1995;;9;;367;1619;39;467;2;;;Asia
04210300;Hungary;;1984;;199;;267;1518;60;205;21;48057;4975;Europe
04210300;Bahrain;;1907;;7;;769;1131;2;1121;4;89225;52437;Asia
04210300;Croatia;;1881;;47;;771;1063;18;458;11;26610;6482;Europe
04210300;Kazakhstan;;1852;;19;;447;1386;22;99;1;117949;6282;Asia
04210300;Iceland;;1773;;10;;1362;401;4;5196;29;43143;126429;Europe
04210300;Uzbekistan;;1627;;5;;261;1361;8;49;0.1;136000;4063;Asia
04210300;Iraq;;1574;;82;;1043;449;;39;2;59055;1468;Asia
04210300;Estonia;;1535;;40;;165;1330;9;1157;30;40930;30855;Europe
04210300;New Zealand;;1440;;12;;974;454;2;299;2;86305;17897;Australia/Oceania
04210300;Azerbaijan;;1436;;19;;791;626;16;142;2;95747;9443;Asia
04210300;Oman;;1410;;7;;238;1165;3;276;1;;;Asia
04210300;Armenia;;1339;;22;;580;737;30;452;7;13373;4513;Asia
04210300;Slovenia;;1335;;77;;193;1065;26;642;37;41802;20107;Europe
