date;country;empty;totalC;newC;totalD;newD;totalR;activeC;serious;1MpopC;1MpopD;totalT;tests1M;continent
04120900;USA;;533115;+236;20580;+3;30502;482033;11471;1611;62;2693758;8138;NorthAmerica
04120900;Spain;;163027;;16606;;59109;87312;7371;3487;355;355000;7593;Europe
04120900;Italy;;152271;;19468;;32534;100269;3381;2518;322;963473;15935;Europe
04120900;France;;129654;;13832;;26391;89431;6883;1986;212;333807;5114;Europe
04120900;Germany;;125452;;2871;;57400;65181;4895;1497;34;1317887;15730;Europe
04120900;UK;;78991;;9875;;344;68772;1559;1164;145;334974;4934;Europe
04120900;Iran;;70029;;4357;;41947;23725;3987;834;52;251703;2997;Asia
04120900;Turkey;;52167;;1101;;2965;48101;1626;619;13;340380;4036;Asia
04120900;Belgium;;28018;;3346;;5986;18686;1262;2418;289;102151;8814;Europe
04120900;Switzerland;;25107;;1036;;12100;11971;386;2901;120;190000;21954;Europe
04120900;Netherlands;;24413;;2643;;250;21520;1384;1425;154;101534;5926;Europe
04120900;Canada;;23318;;653;;6428;16237;557;618;17;401552;10639;NorthAmerica
04120900;Brazil;;20964;+2;1141;+1;173;19650;296;99;5;62985;296;SouthAmerica
04120900;Portugal;;15987;;470;;266;15251;233;1568;46;162798;15966;Europe
04120900;Austria;;13810;+4;337;;6604;6869;246;1533;37;140975;15653;Europe
04120900;Russia;;13584;;106;;1045;12433;8;93;0.7;1184442;8116;Europe
04120900;Israel;;10878;+135;103;+2;1388;9387;174;1257;12;117339;13557;Asia
04120900;S. Korea;;10512;+32;214;+3;7368;2930;55;205;4;514621;10038;Asia
04120900;Sweden;;10151;;887;;381;8883;789;1005;88;54700;5416;Europe
04120900;Ireland;;8928;;320;;25;8583;194;1808;65;53000;10734;Europe
04120900;India;;8504;+58;289;+1;972;7243;;6;0.2;189111;137;Asia
04120900;Ecuador;;7257;;315;;411;6531;184;411;18;21568;1222;SouthAmerica
04120900;Chile;;6927;;73;;1864;4990;383;362;4;76374;3995;SouthAmerica
04120900;Peru;;6848;;181;;1739;4928;142;208;5;67712;2054;SouthAmerica
04120900;Japan;;6748;;108;;762;5878;117;53;0.9;68771;544;Asia
04120900;Norway;;6409;;119;;32;6258;67;1182;22;124279;22924;Europe
04120900;Poland;;6356;;208;;375;5773;160;168;5;129560;3423;Europe
04120900;Australia;;6303;;59;+3;3265;2979;80;247;2;351380;13780;Australia/Oceania
04120900;Denmark;;5996;;260;;1955;3781;106;1035;45;67771;11700;Europe
04120900;Romania;;5990;;291;;758;4941;208;311;15;59272;3081;Europe
04120900;Czechia;;5902;;129;;411;5362;92;551;12;120285;11232;Europe
04120900;Pakistan;;5038;+27;86;;1026;3926;37;23;0.4;61801;280;Asia
04120900;Malaysia;;4530;;73;;1995;2462;72;140;2;71897;2221;Asia
04120900;Philippines;;4428;;247;;157;4024;1;40;2;24500;224;Asia
04120900;Mexico;;4219;+375;273;+40;1772;2174;89;33;2;35479;275;NorthAmerica
04120900;Saudi Arabia;;4033;;52;;720;3261;67;116;1;115585;3320;Asia
04120900;Indonesia;;3842;;327;;286;3229;;14;1;19452;71;Asia
04120900;UAE;;3736;;20;;588;3128;1;378;2;648195;65538;Asia
04120900;Serbia;;3380;;74;;118;3188;145;387;8;16399;1877;Europe
04120900;Luxembourg;;3270;;62;;500;2708;30;5224;99;28965;46272;Europe
04120900;Panama;;3234;;79;;23;3132;104;750;18;14588;3381;NorthAmerica
04120900;Finland;;2905;;49;;300;2556;80;524;9;44354;8005;Europe
04120900;Ukraine;;2777;+266;83;+10;89;2605;45;63;2;26577;608;Europe
04120900;Dominican Republic;;2759;;135;;108;2516;147;254;12;8469;781;NorthAmerica
04120900;Qatar;;2728;;6;;247;2475;37;947;2;47751;16574;Asia
04120900;Colombia;;2709;;100;;214;2395;92;53;2;40603;798;SouthAmerica
04120900;Thailand;;2551;+33;38;+3;1218;1295;61;37;0.5;71860;1030;Asia
04120900;Singapore;;2299;;8;;528;1763;31;393;1;72680;12423;Asia
04120900;Belarus;;2226;;23;;172;2031;72;236;2;53000;5609;Europe
04120900;Argentina;;2142;;89;;440;1613;115;47;2;18027;399;SouthAmerica
04120900;Greece;;2081;;93;;269;1719;75;200;9;37344;3583;Europe
