date;country;empty;totalC;newC;totalD;newD;totalR;activeC;serious;1MpopC;1MpopD;totalT;tests1M;continent
04171800;USA;;681078;+3508;35371;+754;58101;587606;13369;2058;107;3424444;10346;NorthAmerica
04171800;Spain;;188068;+3120;19478;+163;74797;93793;7371;4022;417;930230;19896;Europe
04171800;Italy;;168941;;22170;;40164;106607;2936;2794;367;1178403;19490;Europe
04171800;France;;165027;;17920;;32812;114295;6248;2528;275;333807;5114;Europe
04171800;Germany;;138456;+758;4193;+141;81800;52463;4288;1653;50;1728357;20629;Europe
04171800;UK;;108692;+5599;14576;+847;N/A;93772;1559;1601;215;438991;6467;Europe
04171800;Iran;;79494;+1499;4958;+89;54064;20472;3563;946;59;319879;3808;Asia
04171800;Turkey;;78546;+4353;1769;+126;8631;68146;1845;931;21;558413;6621;Asia
04171800;Belgium;;36138;+1329;5163;+306;7961;23014;1140;3118;445;139387;12027;Europe
04171800;Russia;;32008;+4070;273;+41;2590;29145;8;219;2;1718019;11773;Europe
04171800;Brazil;;30891;+208;1952;+5;14026;14913;6634;145;9;62985;296;SouthAmerica
04171800;Canada;;30670;+564;1251;+56;10091;19328;557;813;33;487625;12920;NorthAmerica
04171800;Netherlands;;30449;+1235;3459;+144;250;26740;1279;1777;202;154911;9041;Europe
04171800;Switzerland;;27078;+346;1325;+44;15900;9853;386;3129;153;206400;23849;Europe
04171800;Portugal;;19022;+181;657;+28;519;17846;222;1866;64;221049;21678;Europe
04171800;Austria;;14568;+92;410;;9704;4454;227;1618;46;169272;18795;Europe
04171800;India;;13835;+405;452;+4;1777;11606;;10;0.3;302956;220;Asia
04171800;Ireland;;13271;;486;;77;12708;156;2688;98;90646;18358;Europe
04171800;Sweden;;13216;+676;1400;+67;550;11266;482;1309;139;74600;7387;Europe
04171800;Israel;;12855;+97;148;+6;2967;9740;182;1485;17;187250;21634;Asia
04171800;Peru;;12491;;274;;6120;6097;169;379;8;121468;3684;SouthAmerica
04171800;S. Korea;;10635;+22;230;+1;7829;2576;55;207;4;546463;10659;Asia
04171800;Chile;;9252;+445;116;+11;3299;5837;384;484;6;103873;5434;SouthAmerica
04171800;Japan;;9231;;190;;935;8106;193;73;2;100703;796;Asia
04171800;Poland;;8379;+461;332;+18;866;7181;160;221;9;179654;4747;Europe
04171800;Ecuador;;8225;;403;;838;6984;168;466;23;27868;1580;SouthAmerica
04171800;Romania;;8067;+360;411;+19;1508;6148;258;419;21;85805;4460;Europe
04171800;Saudi Arabia;;7142;+762;87;+4;1049;6006;74;205;2;150000;4309;Asia
04171800;Denmark;;7073;+194;336;+15;3389;3348;93;1221;58;87024;15024;Europe
04171800;Pakistan;;7025;+106;135;+7;1765;5125;46;32;0.6;84704;383;Asia
04171800;Norway;;6937;+32;161;+9;32;6744;63;1280;30;136236;25130;Europe
04171800;Australia;;6526;+58;65;+2;3821;2640;60;256;3;391530;15354;Australia/Oceania
04171800;Czechia;;6499;+66;173;+4;1174;5152;82;607;16;154307;14409;Europe
04171800;Mexico;;6297;+450;486;+37;2125;3686;207;49;4;40091;311;NorthAmerica
04171800;Indonesia;;5923;+407;520;+24;607;4796;;22;2;37134;136;Asia
04171800;Philippines;;5878;+218;387;+25;487;5004;1;54;4;48171;440;Asia
04171800;UAE;;5825;;35;;1095;4695;1;589;4;767000;77550;Asia
04171800;Serbia;;5690;+372;110;+7;534;5046;120;651;13;32566;3727;Europe
04171800;Malaysia;;5251;+69;86;+2;2967;2198;51;162;3;96695;2988;Asia
04171800;Singapore;;5050;+623;10;;683;4357;29;863;2;94796;16203;Asia
04171800;Belarus;;4779;+575;42;+2;342;4395;65;506;4;86813;9187;Europe
04171800;Qatar;;4663;+560;7;;464;4192;37;1619;2;58328;20245;Asia
04171800;Ukraine;;4662;+501;125;+9;246;4291;45;107;3;47096;1077;Europe
04171800;Dominican Republic;;4126;+371;200;+4;215;3711;146;380;18;13282;1224;NorthAmerica
04171800;Panama;;4016;+265;109;+6;98;3809;99;931;25;17850;4137;NorthAmerica
04171800;Finland;;3489;+120;82;+7;1700;1707;73;630;15;52500;9475;Europe
04171800;Luxembourg;;3444;;69;;552;2823;35;5502;110;31660;50577;Europe
04171800;Colombia;;3233;;144;;550;2539;98;64;3;52085;1024;SouthAmerica
04171800;Thailand;;2700;+28;47;+1;1689;964;61;39;0.7;100498;1440;Asia
04171800;Egypt;;2673;;196;;596;1881;;26;2;25000;244;Africa
04171800;Argentina;;2669;;122;;666;1881;126;59;3;28650;634;SouthAmerica
04171800;South Africa;;2605;;48;;903;1654;7;44;0.8;95060;1603;Africa
04171800;Morocco;;2528;+245;133;+3;273;2122;1;68;4;12523;339;Africa
04171800;Algeria;;2268;;348;;783;1137;60;52;8;3359;77;Africa
04171800;Moldova;;2264;+110;55;+1;276;1933;80;561;14;9848;2441;Europe
04171800;Greece;;2224;+17;108;+3;269;1847;71;213;10;50771;4871;Europe
04171800;Bangladesh;;1838;+266;75;+15;58;1705;1;11;0.5;19193;117;Asia
04171800;Croatia;;1814;+23;36;+1;600;1178;30;442;9;20953;5104;Europe
04171800;Hungary;;1763;+111;156;+14;207;1400;63;182;16;41590;4305;Europe
04171800;Iceland;;1754;+15;9;+1;1224;521;6;5140;26;39536;115859;Europe
04171800;Bahrain;;1740;+40;7;;725;1008;3;1023;4;79564;46759;Asia
04171800;Kuwait;;1658;+134;5;+2;258;1395;32;388;1;;;Asia
04171800;Kazakhstan;;1498;+96;17;;347;1134;22;80;0.9;85735;4566;Asia
04171800;Estonia;;1459;+25;38;+2;145;1276;11;1100;29;37594;28340;Europe
04171800;Iraq;;1434;;80;;856;498;;36;2;49260;1225;Asia
04171800;New Zealand;;1409;+8;11;+2;816;582;2;292;2;74401;15429;Australia/Oceania
04171800;Uzbekistan;;1390;+41;4;;140;1246;8;42;0.1;136000;4063;Asia
04171800;Azerbaijan;;1340;+57;15;;528;797;26;132;1;86607;8542;Asia
04171800;Slovenia;;1304;+36;66;+5;174;1064;28;627;32;39330;18918;Europe
04171800;Armenia;;1201;+42;19;+1;402;780;30;405;6;10793;3642;Asia
04171800;Bosnia and Herzegovina;;1199;+32;46;+3;320;833;4;365;14;15751;4801;Europe
04171800;Lithuania;;1149;+21;32;;210;907;14;422;12;53101;19506;Europe
04171800;North Macedonia;;1117;+36;49;+3;139;929;15;536;24;10422;5002;Europe
04171800;Oman;;1069;+50;6;+2;176;887;3;209;1;;;Asia
04171800;Slovakia;;1049;+72;9;+1;175;865;5;192;2;37732;6911;Europe
04171800;Hong Kong;;1022;+4;4;;533;485;9;136;0.5;131786;17579;Asia
04171800;Cameroon;;996;;22;;164;810;;38;0.8;;;Africa
04171800;Cuba;;923;+61;31;+4;171;721;16;81;3;21837;1928;NorthAmerica
04171800;Afghanistan;;906;+66;30;;99;777;;23;0.8;;;Asia
04171800;Bulgaria;;846;+46;41;+3;141;664;37;122;6;18502;2663;Europe
04171800;Tunisia;;822;;37;;43;742;89;70;3;13930;1179;Africa
04171800;Cyprus;;750;+15;12;;77;661;8;621;10;25734;21314;Asia
04171800;Djibouti;;732;+141;2;;76;654;;741;2;7486;7577;Africa
04171800;Andorra;;696;+23;35;+2;191;470;17;9008;453;1673;21653;Europe
04171800;Ivory Coast;;688;+34;6;;193;489;;26;0.2;;;Africa
04171800;Latvia;;682;+7;5;;88;589;5;362;3;32837;17409;Europe
04171800;Lebanon;;668;+5;21;;86;561;30;98;3;19185;2811;Asia
04171800;Costa Rica;;642;;4;;74;564;11;126;0.8;9396;1844;NorthAmerica
04171800;Ghana;;641;;8;;83;550;2;21;0.3;50719;1632;Africa
04171800;Niger;;609;+25;15;+1;105;489;;25;0.6;4427;183;Africa
04171800;Burkina Faso;;546;;32;;257;257;;26;2;;;Africa
04171800;Albania;;539;+21;26;;283;230;5;187;9;5080;1765;Europe
04171800;Uruguay;;502;;9;;286;207;13;145;3;11239;3235;SouthAmerica
04171800;Kyrgyzstan;;489;+23;5;;114;370;5;75;0.8;26147;4008;Asia
04171800;Channel Islands;;470;+13;20;+1;73;377;;2703;115;3320;19095;Europe
04171800;Bolivia;;465;+24;31;+2;26;408;3;40;3;2185;187;SouthAmerica
04171800;Honduras;;442;+16;41;+6;10;391;10;45;4;2012;203;NorthAmerica
04171800;Nigeria;;442;;13;;152;277;2;2;0.06;6649;32;Africa
04171800;Guinea;;438;;1;;49;388;;33;0.08;;;Africa
04171800;San Marino;;435;+9;39;+1;57;339;15;12820;1149;846;24933;Europe
04171800;Malta;;422;+10;3;;91;328;4;956;7;21164;47932;Europe
04171800;Jordan;;402;;7;;259;136;5;39;0.7;20500;2009;Asia
04171800;Palestine;;402;+28;2;;69;331;;79;0.4;17329;3397;Asia
04171800;Taiwan;;395;;6;;166;223;;17;0.3;51603;2167;Asia
04171800;Reacuteunion;;394;;;;237;157;4;440;;;;Africa
04171800;Georgia;;370;+22;3;;79;288;6;93;0.8;5027;1260;Asia
04171800;Senegal;;342;+7;2;;198;142;1;20;0.1;;;Africa
04171800;Mauritius;;324;;9;;108;207;3;255;7;9755;7670;Africa
04171800;Montenegro;;303;;5;+1;55;243;7;482;8;3874;6168;Europe
04171800;Isle of Man;;291;+7;4;;169;118;11;3422;47;2375;27930;Europe
04171800;DRC;;287;+20;23;+1;25;239;;3;0.3;;;Africa
04171800;Vietnam;;268;;;;198;70;8;3;;206253;2119;Asia
04171800;Kenya;;246;+12;11;;53;182;2;5;0.2;10784;201;Africa
04171800;Mayotte;;245;+12;4;+1;117;124;6;898;15;1700;6231;Africa
04171800;Sri Lanka;;242;+4;7;;77;158;1;11;0.3;4768;223;Asia
04171800;Guatemala;;214;+18;7;+2;21;186;3;12;0.4;7200;402;NorthAmerica
04171800;Venezuela;;204;;9;;111;84;4;7;0.3;268503;9442;SouthAmerica
04171800;Paraguay;;199;+25;8;;30;161;1;28;1;4267;598;SouthAmerica
04171800;Faeroe Islands;;184;;;;171;13;;3766;;5846;119641;Europe
04171800;El Salvador;;177;+13;7;+1;38;132;2;27;1;9267;1429;NorthAmerica
04171800;Mali;;171;;13;;34;124;;8;0.6;;;Africa
04171800;Martinique;;158;;8;;73;77;17;421;21;;;NorthAmerica
04171800;Tanzania;;147;+53;5;+1;11;131;4;2;0.08;;;Africa
04171800;Guadeloupe;;145;;8;;67;70;13;362;20;;;NorthAmerica
04171800;Congo;;143;+26;6;+1;11;126;;26;1;;;Africa
04171800;Jamaica;;143;;5;;25;113;;48;2;1424;481;NorthAmerica
04171800;Rwanda;;138;;;;60;78;;11;;6237;482;Africa
04171800;Brunei;;136;;1;;112;23;2;311;2;11089;25348;Asia
04171800;Gibraltar;;132;+1;;;105;27;1;3918;;1760;52239;Europe
04171800;Cambodia;;122;;;;98;24;1;7;;5768;345;Asia
04171800;Madagascar;;117;+6;;;33;84;1;4;;2357;85;Africa
04171800;Trinidad and Tobago;;114;;8;;20;86;;81;6;1298;927;NorthAmerica
04171800;Ethiopia;;96;+4;3;;15;78;1;0.8;0.03;6231;54;Africa
04171800;French Guiana;;96;+10;;;61;35;2;321;;;;SouthAmerica
04171800;Aruba;;95;;2;;39;54;1;890;19;1237;11586;NorthAmerica
04171800;Gabon;;95;+15;1;;6;88;;43;0.4;572;257;Africa
04171800;Monaco;;93;;3;;12;78;2;2370;76;;;Europe
04171800;Myanmar;;88;+3;4;;5;79;;2;0.07;3236;59;Asia
04171800;Bermuda;;83;+2;5;;35;43;9;1333;80;552;8863;NorthAmerica
04171800;Togo;;83;+2;5;;48;30;;10;0.6;3926;474;Africa
04171800;Somalia;;80;;5;;2;73;2;5;0.3;;;Africa
04171800;Liechtenstein;;79;;1;;55;23;;2072;26;900;23605;Europe
04171800;Equatorial Guinea;;79;+28;;;4;75;;56;;854;609;Africa
04171800;Liberia;;76;+17;7;+1;7;62;;15;1;;;Africa
04171800;Barbados;;75;;5;;15;55;4;261;17;900;3132;NorthAmerica
04171800;Cayman Islands;;61;+1;1;;7;53;3;928;15;690;10499;NorthAmerica
04171800;Sint Maarten;;57;;9;;12;36;6;1329;210;163;3802;NorthAmerica
04171800;Guyana;;57;+2;6;;9;42;4;72;8;260;331;SouthAmerica
04171800;Cabo Verde;;56;;1;;1;54;;101;2;;;Africa
04171800;French Polynesia;;55;;;;;55;1;196;;920;3275;Australia/Oceania
04171800;Uganda;;55;;;;20;35;;1;;8855;194;Africa
04171800;Bahamas;;53;;8;;6;39;1;135;20;;;NorthAmerica
04171800;Zambia;;52;+4;2;;30;20;1;3;0.1;2191;119;Africa
04171800;Libya;;49;;1;;11;37;;7;0.1;699;102;Africa
04171800;Macao;;45;;;;16;29;1;69;;;;Asia
04171800;Haiti;;43;+2;3;;;40;;4;0.3;365;32;NorthAmerica
04171800;Guinea-Bissau;;43;;;;;43;;22;;1500;762;Africa
04171800;Saint Martin;;35;;2;;13;20;5;905;52;;;NorthAmerica
04171800;Benin;;35;;1;;18;16;;3;0.08;;;Africa
04171800;Eritrea;;35;;;;;35;;10;;;;Africa
04171800;Mozambique;;34;+3;;;2;32;;1;;898;29;Africa
04171800;Syria;;33;;2;;5;26;;2;0.1;;;Asia
04171800;Sudan;;32;;5;;4;23;;0.7;0.1;;;Africa
04171800;Mongolia;;31;;;;5;26;;9;;1450;442;Asia
04171800;Nepal;;30;+14;;;2;28;;1;;15800;542;Asia
04171800;Maldives;;28;+3;;;16;12;;52;;3497;6469;Asia
04171800;Chad;;27;;;;5;22;;2;;;;Africa
04171800;Sierra Leone;;26;+11;;;;26;;3;;;;Africa
