date;country;empty;totalC;newC;totalD;newD;totalR;activeC;serious;1MpopC;1MpopD;totalT;tests1M;continent
04242100;USA;;904079;+17637;50993;+757;90261;762825;14932;2731;154;4917703;14857;NorthAmerica
04242100;Spain;;219764;+6740;22524;+367;92355;104885;7705;4700;482;930230;19896;Europe
04242100;Italy;;192994;+3021;25969;+420;60498;106527;2173;3192;430;1642356;27164;Europe
04242100;France;;159828;+1645;22245;+389;43493;94090;4870;2449;341;463662;7103;Europe
04242100;Germany;;154159;+1030;5653;+78;106800;41706;2908;1840;67;2072669;24738;Europe
04242100;UK;;143464;+5386;19506;+768;N/A;123614;1559;2113;287;612031;9016;Europe
04242100;Turkey;;104912;+3122;2600;+109;21737;80575;1790;1244;31;830257;9844;Asia
04242100;Iran;;88194;+1168;5574;+93;66599;16021;3121;1050;66;399927;4761;Asia
04242100;Russia;;68622;+5849;615;+60;5568;62439;2300;470;4;2550000;17474;Europe
04242100;Brazil;;51073;+1581;3407;+94;26573;21093;8318;240;16;291922;1373;SouthAmerica
04242100;Belgium;;44293;+1496;6679;+189;10122;27492;970;3822;576;189067;16313;Europe
04242100;Canada;;43551;+1441;2294;+147;15444;25813;557;1154;61;643398;17047;NorthAmerica
04242100;Netherlands;;36535;+806;4289;+112;N/A;31996;963;2132;250;187000;10913;Europe
04242100;Switzerland;;28677;+181;1578;+29;21000;6099;386;3313;182;235252;27182;Europe
04242100;India;;24434;+1395;780;+59;5457;18197;;18;0.6;541789;393;Asia
04242100;Portugal;;22797;+444;854;+34;1228;20715;188;2236;84;315758;30967;Europe
04242100;Ecuador;;22719;+11536;576;+16;1366;20777;127;1288;33;56513;3203;SouthAmerica
04242100;Peru;;21648;+734;634;+62;7496;13518;505;657;19;198349;6016;SouthAmerica
04242100;Ireland;;18184;+577;1014;+220;9233;7937;142;3683;205;111584;22598;Europe
04242100;Sweden;;17567;+812;2152;+131;550;14865;547;1739;213;94500;9357;Europe
04242100;Saudi Arabia;;15102;+1172;127;+6;2049;12926;93;434;4;200000;5745;Asia
04242100;Austria;;15071;+69;530;+8;11872;2669;156;1673;59;212686;23615;Europe
04242100;Israel;;15058;+255;194;+2;6003;8861;137;1740;22;287034;33162;Asia
04242100;Japan;;12368;;328;;1494;10546;259;98;3;135983;1075;Asia
04242100;Chile;;12306;+494;174;+6;6327;5805;408;644;9;142267;7442;SouthAmerica
04242100;Singapore;;12075;+897;12;;924;11139;26;2064;2;94796;16203;Asia
04242100;Mexico;;11633;+1089;1069;+99;2627;7937;378;90;8;51297;398;NorthAmerica
04242100;Pakistan;;11155;+98;237;+2;2527;8391;111;50;1;131365;595;Asia
04242100;Poland;;10892;+381;494;+40;1944;8454;160;288;13;265201;7007;Europe
04242100;S. Korea;;10708;+6;240;;8501;1967;55;209;5;589520;11499;Asia
04242100;Romania;;10417;+321;567;+22;2817;7033;241;541;29;121602;6321;Europe
04242100;UAE;;9281;+525;64;+8;1760;7457;1;938;6;790000;79875;Asia
04242100;Belarus;;8773;+751;63;+3;1120;7590;92;928;7;130824;13845;Europe
04242100;Qatar;;8525;+761;10;;809;7706;72;2959;3;75888;26340;Asia
04242100;Indonesia;;8211;+436;689;+42;1002;6520;;30;3;64054;234;Asia
04242100;Denmark;;8210;+137;403;+9;5526;2281;69;1417;70;125329;21638;Europe
04242100;Ukraine;;7647;+477;193;+6;601;6853;45;175;4;77752;1778;Europe
04242100;Serbia;;7483;+207;144;+5;1094;6245;96;856;16;54887;6282;Europe
04242100;Norway;;7444;+43;199;+5;32;7213;53;1373;37;155125;28614;Europe
04242100;Czechia;;7236;+49;214;+4;2371;4651;76;676;20;203622;19014;Europe
04242100;Philippines;;7192;+211;477;+15;762;5953;1;66;4;76956;702;Asia
04242100;Australia;;6675;+8;79;+4;5136;1460;43;262;3;482371;18917;Australia/Oceania
04242100;Dominican Republic;;5749;+206;267;+2;763;4719;135;530;25;18261;1683;NorthAmerica
04242100;Malaysia;;5691;+88;96;+1;3663;1932;41;176;3;121722;3761;Asia
04242100;Panama;;5166;+174;146;+2;271;4749;86;1197;34;23534;5454;NorthAmerica
04242100;Bangladesh;;4689;+503;131;+4;112;4446;1;28;0.8;39476;240;Asia
04242100;Colombia;;4561;;215;;927;3419;98;90;4;71500;1405;SouthAmerica
04242100;Finland;;4395;+111;177;+5;2500;1718;61;793;32;74500;13446;Europe
04242100;South Africa;;4220;+267;79;+4;1473;2668;36;71;1;152390;2569;Africa
04242100;Egypt;;4092;+201;294;+7;1075;2723;;40;3;90000;879;Africa
04242100;Morocco;;3758;+190;158;+3;486;3114;1;102;4;23933;648;Africa
04242100;Luxembourg;;3695;+30;85;+2;3007;603;25;5903;136;37782;60357;Europe
04242100;Argentina;;3435;;167;+2;976;2292;123;76;4;44654;988;SouthAmerica
04242100;Algeria;;3127;+120;415;+8;1408;1304;40;71;9;6500;148;Africa
04242100;Moldova;;3110;+184;84;+4;755;2271;212;771;21;11763;2916;Europe
04242100;Thailand;;2854;+15;50;;2490;314;61;41;0.7;142589;2043;Asia
04242100;Kuwait;;2614;+215;15;+1;613;1986;60;612;4;;;Asia
04242100;Bahrain;;2506;+289;8;;1113;1385;2;1473;5;105365;61922;Asia
04242100;Greece;;2490;+27;130;+5;577;1783;48;239;12;61407;5891;Europe
04242100;Kazakhstan;;2416;+127;25;+5;604;1787;29;129;1;153492;8175;Asia
04242100;Hungary;;2383;+99;250;+11;401;1732;61;247;26;58251;6030;Europe
04242100;Croatia;;2009;+28;51;+1;982;976;19;489;12;30213;7360;Europe
04242100;Uzbekistan;;1804;+46;8;+1;621;1175;8;54;0.2;210000;6274;Asia
04242100;Oman;;1790;+74;9;;325;1456;3;351;2;;;Asia
04242100;Iceland;;1789;;10;;1542;237;5;5243;29;45286;132709;Europe
04242100;Iraq;;1677;;83;;1171;423;;42;2;64882;1613;Asia
04242100;Estonia;;1605;+13;46;+1;206;1353;6;1210;35;46281;34889;Europe
04242100;Armenia;;1596;+73;27;+3;728;841;10;539;9;16552;5586;Asia
04242100;Azerbaijan;;1592;+44;21;+1;1013;558;14;157;2;114410;11284;Asia
04242100;New Zealand;;1456;+5;17;+1;1095;344;1;302;4;108238;22446;Australia/Oceania
04242100;Cameroon;;1430;+96;43;;668;719;20;54;2;;;Africa
04242100;Bosnia and Herzegovina;;1421;+8;55;+1;538;828;4;433;17;21432;6533;Europe
04242100;Lithuania;;1410;+12;40;;430;940;17;518;15;90992;33425;Europe
04242100;Slovenia;;1373;+7;80;+1;211;1082;23;660;38;45703;21984;Europe
04242100;Slovakia;;1360;+35;17;+2;355;988;8;249;3;61261;11221;Europe
04242100;Afghanistan;;1351;+72;43;+1;188;1120;7;35;1;6422;165;Asia
04242100;North Macedonia;;1326;+26;57;+1;337;932;14;636;27;13649;6551;Europe
04242100;Cuba;;1285;+50;49;+6;416;820;11;113;4;36134;3190;NorthAmerica
04242100;Ghana;;1279;+125;10;+1;134;1135;4;41;0.3;88188;2838;Africa
04242100;Bulgaria;;1188;+91;54;+2;193;941;37;171;8;27000;3886;Europe
