date;country;empty;totalC;newC;totalD;newD;totalR;activeC;serious;1MpopC;1MpopD;totalT;tests1M;continent
04110000;USA;;496828;+28262;18509;+1818;26822;451497;10906;1501;56;2526853;7634;NorthAmerica
04110000;Spain;;158273;+5051;16081;+634;55668;86524;7371;3385;344;355000;7593;Europe
04110000;Italy;;147577;+3951;18849;+570;30455;98273;3497;2441;312;906864;14999;Europe
04110000;France;;124869;+7120;13197;+987;24932;86740;7004;1913;202;333807;5114;Europe
04110000;Germany;;121045;+2810;2728;+121;53913;64404;4895;1445;33;1317887;15730;Europe
04110000;UK;;73758;+8681;8958;+980;135;64665;1559;1086;132;316836;4667;Europe
04110000;Iran;;68192;+1972;4232;+122;35465;28495;3969;812;50;242568;2888;Asia
04110000;Turkey;;47029;+4747;1006;+98;2423;43600;1667;558;12;307210;3643;Asia
04110000;Belgium;;26667;+1684;3019;+496;5568;18080;1278;2301;260;84248;7269;Europe
04110000;Switzerland;;24551;+500;1002;+54;11100;12449;386;2837;116;178500;20625;Europe
04110000;Netherlands;;23097;+1335;2511;+115;250;20336;1424;1348;147;101534;5926;Europe
04110000;Canada;;22108;+1343;556;+47;5871;15681;557;586;15;370315;9812;NorthAmerica
04110000;Brazil;;19638;+1493;1057;+103;173;18408;296;92;5;62985;296;SouthAmerica
04110000;Portugal;;15472;+1516;435;+26;233;14804;226;1517;43;123564;12118;Europe
04110000;Austria;;13555;+311;319;+24;6064;7172;261;1505;35;134743;14961;Europe
04110000;Russia;;11917;+1786;94;+18;795;11028;8;82;0.6;1090000;7469;Europe
04110000;S. Korea;;10450;+27;208;+4;7117;3125;55;204;4;503051;9812;Asia
04110000;Israel;;10408;+440;95;+9;1183;9130;124;1202;11;117339;13557;Asia
04110000;Sweden;;9685;+544;870;+77;381;8434;749;959;86;54700;5416;Europe
04110000;Ireland;;8089;+1515;287;+24;25;7777;194;1638;58;53000;10734;Europe
04110000;India;;7598;+873;246;+19;774;6578;;6;0.2;189111;137;Asia
04110000;Ecuador;;7161;+2196;297;+25;368;6496;171;406;17;21568;1222;SouthAmerica
