date;country;empty;totalC;newC;totalD;newD;totalR;activeC;serious;1MpopC;1MpopD;totalT;tests1M;continent
04150900;USA;;614246;+360;26064;+17;38820;549362;13473;1856;79;3100387;9367;NorthAmerica
04150900;Spain;;174060;;18255;;67504;88301;7371;3723;390;600000;12833;Europe
04150900;Italy;;162488;;21067;;37130;104291;3186;2687;348;1073689;17758;Europe
04150900;France;;143303;;15729;;28805;98769;6730;2195;241;333807;5114;Europe
04150900;Germany;;132210;;3495;;72600;56115;4288;1578;42;1317887;15730;Europe
04150900;UK;;93873;;12107;;N/A;81422;1559;1383;178;382650;5637;Europe
04150900;Iran;;74877;;4683;;48129;22065;3691;891;56;287359;3421;Asia
04150900;Turkey;;65111;;1403;;4799;58909;1809;772;17;443626;5260;Asia
04150900;Belgium;;31119;;4157;;6868;20094;1223;2685;359;102151;8814;Europe
04150900;Netherlands;;27419;;2945;;250;24224;1358;1600;172;134972;7877;Europe
04150900;Canada;;27063;;903;;8235;17925;557;717;24;450717;11942;NorthAmerica
04150900;Switzerland;;25936;;1174;;14700;10062;386;2997;136;199000;22993;Europe
04150900;Brazil;;25684;+422;1552;+20;14026;10106;296;121;7;62985;296;SouthAmerica
04150900;Russia;;21102;;170;;1694;19238;8;145;1;1400000;9593;Europe
04150900;Portugal;;17448;;567;;347;16534;218;1711;56;191680;18798;Europe
04150900;Austria;;14234;+8;384;;7633;6217;243;1580;43;151796;16854;Europe
04150900;Israel;;12046;;123;;2195;9728;175;1392;14;117339;13557;Asia
04150900;India;;11555;+68;396;+3;1362;9797;;8;0.3;244893;177;Asia
04150900;Ireland;;11479;;406;;77;10996;194;2325;82;90646;18358;Europe
04150900;Sweden;;11445;;1033;;381;10031;915;1133;102;54700;5416;Europe
04150900;S. Korea;;10591;+27;225;+3;7616;2750;55;207;4;534552;10426;Asia
04150900;Peru;;10303;;230;;2869;7204;132;312;7;102216;3100;SouthAmerica
04150900;Japan;;8100;+215;146;;853;7101;152;64;1;89551;708;Asia
04150900;Chile;;7917;;92;;2646;5179;387;414;5;87794;4593;SouthAmerica
04150900;Ecuador;;7603;;369;;696;6538;129;431;21;25347;1437;SouthAmerica
04150900;Poland;;7202;;263;;618;6321;160;190;7;148321;3919;Europe
04150900;Romania;;6879;;357;+6;1051;5471;241;358;19;70097;3644;Europe
04150900;Norway;;6623;;139;;32;6452;59;1222;26;128569;23716;Europe
04150900;Denmark;;6511;;299;;2515;3697;100;1124;52;74210;12812;Europe
04150900;Australia;;6440;+40;63;+2;3598;2779;78;253;2;370394;14525;Australia/Oceania
04150900;Czechia;;6141;+30;161;;642;5338;92;573;15;131542;12283;Europe
04150900;Pakistan;;5988;+151;107;+11;1446;4435;46;27;0.5;73439;332;Asia
04150900;Mexico;;5399;+385;406;+74;2125;2868;207;42;3;40091;311;NorthAmerica
04150900;Saudi Arabia;;5369;;73;;889;4407;59;154;2;150000;4309;Asia
04150900;Philippines;;5223;;335;;295;4593;1;48;3;43500;397;Asia
04150900;Malaysia;;4987;;82;;2478;2427;60;154;3;84791;2620;Asia
04150900;UAE;;4933;;28;;933;3972;1;499;3;648195;65538;Asia
04150900;Indonesia;;4839;;459;;426;3954;;18;2;31628;116;Asia
04150900;Serbia;;4465;;94;;400;3971;131;511;11;23398;2678;Europe
04150900;Ukraine;;3764;+392;108;+10;143;3513;45;86;2;35153;804;Europe
04150900;Panama;;3574;;95;;72;3407;106;828;22;16053;3720;NorthAmerica
04150900;Qatar;;3428;;7;;373;3048;37;1190;2;52622;18265;Asia
04150900;Luxembourg;;3307;;67;;500;2740;30;5283;107;29523;47163;Europe
04150900;Dominican Republic;;3286;;183;;162;2941;143;303;17;9275;855;NorthAmerica
04150900;Belarus;;3281;;33;;203;3045;57;347;3;71875;7606;Europe
04150900;Singapore;;3252;;10;;611;2631;29;556;2;72680;12423;Asia
04150900;Finland;;3161;;64;;300;2797;74;571;12;47290;8535;Europe
04150900;Colombia;;2979;;127;;354;2498;106;59;2;45423;893;SouthAmerica
04150900;Thailand;;2643;+30;43;+2;1497;1103;61;38;0.6;100498;1440;Asia
04150900;Argentina;;2443;+166;105;+3;559;1779;83;54;2;22805;505;SouthAmerica
04150900;South Africa;;2415;;27;;410;1978;7;41;0.5;87022;1467;Africa
04150900;Egypt;;2350;;178;;589;1583;;23;2;25000;244;Africa
04150900;Greece;;2170;;101;;269;1800;76;208;10;48798;4682;Europe
04150900;Algeria;;2070;;326;;691;1053;60;47;7;3359;77;Africa
04150900;Moldova;;1934;;41;;171;1722;80;479;10;6271;1555;Europe
04150900;Morocco;;1888;;126;;217;1545;1;51;3;9609;260;Africa
04150900;Iceland;;1720;;8;;989;723;8;5040;23;36339;106490;Europe
04150900;Croatia;;1704;;31;;415;1258;34;415;8;18359;4472;Europe
04150900;Hungary;;1579;+67;134;+12;192;1253;58;163;14;37326;3864;Europe
04150900;Bahrain;;1528;;7;;648;873;3;898;4;70813;41616;Asia
04150900;Iraq;;1400;;78;;766;556;;35;2;45437;1130;Asia
04150900;New Zealand;;1386;+20;9;;728;649;3;287;2;66499;13790;Australia/Oceania
04150900;Estonia;;1373;;31;;115;1227;11;1035;23;32263;24321;Europe
04150900;Kuwait;;1355;;3;;176;1176;26;317;0.7;;;Asia
04150900;Kazakhstan;;1267;+35;14;;203;1050;20;67;0.7;81359;4333;Asia
04150900;Slovenia;;1220;;56;;152;1012;35;587;27;35946;17291;Europe
04150900;Uzbekistan;;1214;+49;4;;99;1111;8;36;0.1;70000;2091;Asia
04150900;Azerbaijan;;1197;;13;;351;833;25;118;1;71736;7075;Asia
04150900;Lithuania;;1091;+21;29;;138;924;14;401;11;44677;16412;Europe
04150900;Bosnia and Herzegovina;;1083;;40;;236;807;4;330;12;12407;3782;Europe
04150900;Armenia;;1067;;16;;265;786;30;360;5;8316;2806;Asia
04150900;Hong Kong;;1013;;4;;434;575;13;135;0.5;96709;12900;Asia
04150900;Bangladesh;;1012;;46;;42;924;1;6;0.3;13128;80;Asia
04150900;Oman;;910;+97;4;;131;775;3;178;0.8;;;Asia
04150900;North Macedonia;;908;;44;;86;778;15;436;21;9262;4446;Europe
04150900;Cameroon;;848;;14;;130;704;;32;0.5;;;Africa
04150900;Slovakia;;835;;2;;113;720;5;153;0.4;30052;5504;Europe
04150900;Afghanistan;;784;+70;25;+2;43;716;;20;0.6;;;Asia
04150900;Cuba;;766;;21;;132;613;9;68;2;18634;1645;NorthAmerica
04150900;Tunisia;;747;;34;;43;670;89;63;3;12415;1050;Africa
04150900;Bulgaria;;735;+22;36;+1;105;594;29;106;5;18502;2663;Europe
04150900;Cyprus;;695;;12;;65;618;8;576;10;17923;14845;Asia
04150900;Andorra;;659;;31;;128;500;17;8529;401;1673;21653;Europe
