date;country;empty;totalC;newC;totalD;newD;totalR;activeC;serious;1MpopC;1MpopD;totalT;tests1M;continent
04051500;Lebanon;;527;+7;18;+1;54;455;26;77;3;9411;1379
04051500;Bulgaria;;522;+19;18;+1;37;467;26;75;3;15899;2288
04051500;Andorra;;501;+35;18;+1;26;457;12;6484;233;;
04051500;Slovakia;;485;+14;1;;10;474;3;89;0.2;15155;2776
04051500;Costa Rica;;435;;2;;13;420;13;85;0.4;4654;914
04051500;Cyprus;;426;;9;;33;384;11;353;7;10154;8410
04051500;Uruguay;;400;;5;;93;302;13;115;1;5063;1458
04051500;Taiwan;;363;+8;5;;54;304;;15;0.2;36304;1524
04051500;Albania;;361;+28;20;;104;237;7;125;7;2396;833
04051500;Afghanistan;;337;+28;7;;15;315;;9;0.2;;
04051500;Reacuteunion;;334;;;;40;294;4;373;;;
04051500;Jordan;;323;;5;;74;244;5;32;0.5;;
04051500;Burkina Faso;;318;;16;;66;236;;15;0.8;;
04051500;Oman;;298;+21;2;;61;235;3;58;0.4;;
04051500;Uzbekistan;;298;+32;2;;30;266;8;9;0.06;;
04051500;Cuba;;288;;6;;15;267;11;25;0.5;3342;295
04051500;Honduras;;268;+4;22;+7;6;240;10;27;2;;
04051500;San Marino;;266;+7;32;;35;199;14;7839;943;586;17270
04051500;Channel Islands;;262;;5;;13;244;;1507;29;;
04051500;Ivory Coast;;245;;1;;25;219;;9;0.04;;
04051500;Vietnam;;241;+1;;;90;151;3;2;;88551;910
04051500;Mauritius;;227;+31;7;;7;213;1;178;6;;
04051500;Malta;;227;+14;;;2;225;3;514;;10358;23459
04051500;Palestine;;226;+9;1;;23;202;;44;0.2;12738;2497
04051500;Nigeria;;224;+10;5;+1;27;192;2;1;0.02;4000;19
04051500;Senegal;;222;+3;2;;82;138;1;13;0.1;;
04051500;Ghana;;214;+9;5;;31;178;2;7;0.2;;
04051500;Montenegro;;203;+2;2;;1;200;4;323;3;1456;2318
04051500;Faeroe Islands;;181;;;;99;82;1;3704;;4890;100076
04051500;Sri Lanka;;171;+5;5;;29;137;5;8;0.2;;
04051500;Georgia;;170;+8;2;+1;36;132;6;43;0.5;2762;692
04051500;Bolivia;;157;+18;10;;2;145;3;13;0.9;591;51
04051500;Venezuela;;155;;7;;52;96;6;5;0.2;1779;63
04051500;DRC;;154;;18;;3;133;;2;0.2;;
04051500;Kyrgyzstan;;147;+3;1;;9;137;5;23;0.2;9618;1474
04051500;Martinique;;145;;3;;27;115;22;386;8;;
04051500;Niger;;144;;8;;;136;;6;0.3;4012;166
04051500;Brunei;;135;;1;;73;61;3;309;2;8129;18581
04051500;Guadeloupe;;134;;7;;24;103;14;335;17;;
04051500;Mayotte;;134;;2;;14;118;3;491;7;479;1756
04051500;Isle of Man;;127;+1;1;;;126;;1494;12;1334;15688
04051500;Kenya;;126;;4;;4;118;2;2;0.07;2201;41
04051500;Cambodia;;114;;;;50;64;1;7;;5768;345
04051500;Guinea;;111;;;;5;106;;8;;;
04051500;Paraguay;;104;+8;3;;12;89;2;15;0.4;1381;194
04051500;Trinidad and Tobago;;103;;6;;1;96;;74;4;779;557
04051500;Rwanda;;102;;;;4;98;;8;;;
04051500;Gibraltar;;98;;;;52;46;;2909;;1269;37666
04051500;Bangladesh;;88;+18;9;+1;30;49;1;0.5;0.05;2086;13
04051500;Liechtenstein;;77;;1;;;76;;2020;26;900;23605
04051500;Madagascar;;70;;;;;70;6;3;;;
04051500;Monaco;;66;;1;;3;62;2;1682;25;;
04051500;Aruba;;64;;;;1;63;;599;;863;8083
04051500;El Salvador;;62;+6;3;;2;57;4;10;0.5;;
04051500;Guatemala;;61;;2;;15;44;1;3;0.1;1134;63
04051500;French Guiana;;61;;;;22;39;1;204;;;
04051500;Djibouti;;59;+9;;;9;50;;60;;;
04051500;Jamaica;;55;+2;3;;7;45;;19;1;540;182
04051500;Barbados;;52;;;;;52;;181;;382;1329
04051500;Uganda;;48;;;;;48;;1;;2629;57
04051500;Congo;;45;+23;5;+3;2;38;;8;0.9;;
04051500;Macao;;44;;;;10;34;;68;;;
04051500;Ethiopia;;43;+5;1;+1;4;38;1;0.4;0.01;1843;16
04051500;Mali;;41;;3;;1;37;;2;0.1;;
04051500;Togo;;41;;3;;17;21;;5;0.4;;
04051500;French Polynesia;;40;;;;;40;1;142;;583;2075
04051500;Zambia;;39;;1;;3;35;;2;0.05;619;34
04051500;Bermuda;;37;;;;14;23;;594;;291;4673
04051500;Cayman Islands;;35;;1;;1;33;;533;15;319;4854
04051500;Saint Martin;;29;+5;2;;7;20;6;750;52;;
04051500;Eritrea;;29;;;;;29;;8;;;
04051500;Bahamas;;28;;4;;;24;1;71;10;;
04051500;Sint Maarten;;25;+2;4;;6;15;;583;93;82;1912
04051500;Guyana;;24;+1;4;;;20;;31;5;93;118
04051500;Gabon;;21;;1;;1;19;;9;0.4;;
04051500;Myanmar;;21;;1;;;20;;0.4;0.02;;
04051500;Haiti;;21;+1;;;1;20;;2;;247;22
04051500;Tanzania;;20;;1;;3;16;;0.3;0.02;;
04051500;Syria;;19;+3;2;;2;15;;1;0.1;;
04051500;Maldives;;19;;;;13;6;;35;;;
04051500;Libya;;18;;1;;;17;;3;0.1;294;43
04051500;Guinea-Bissau;;18;;;;;18;;9;;;
04051500;New Caledonia;;17;;;;1;16;;60;;1390;4869
04051500;Benin;;16;;;;2;14;;1;;;
04051500;Equatorial Guinea;;16;;;;1;15;;11;;;
04051500;Namibia;;16;+2;;;3;13;;6;;301;118
04051500;Antigua and Barbuda;;15;;;;;15;1;153;;40;408
04051500;Dominica;;14;;;;;14;;194;;255;3542
04051500;Mongolia;;14;;;;2;12;;4;;;
