date;country;empty;totalC;newC;totalD;newD;totalR;activeC;serious;1MpopC;1MpopD;totalT;tests1M;continent
04192100;USA;;756856;+18064;40131;+1117;69064;647661;13556;2287;121;3811475;11515;NorthAmerica
04192100;Spain;;195944;+1528;20453;+410;77357;98134;7371;4191;437;930230;19896;Europe
04192100;Italy;;178972;+3047;23660;+433;47055;108257;2635;2960;391;1356541;22436;Europe
04192100;France;;152578;+785;19718;+395;36578;96282;5744;2338;302;463662;7103;Europe
04192100;Germany;;144406;+682;4548;+10;88000;51858;2889;1724;54;1728357;20629;Europe
04192100;UK;;120067;+5850;16060;+596;N/A;103663;1559;1769;237;482063;7101;Europe
04192100;Turkey;;86306;+3977;2017;+127;11976;72313;1922;1023;24;634277;7521;Asia
04192100;Iran;;82211;+1343;5118;+87;57023;20070;3456;979;61;341662;4068;Asia
04192100;Russia;;42853;+6060;361;+48;3291;39201;8;294;2;1940000;13294;Europe
04192100;Belgium;;38496;+1313;5683;+230;8757;24056;1081;3322;490;153778;13269;Europe
04192100;Brazil;;37437;+715;2388;+27;14026;21023;6634;176;11;62985;296;SouthAmerica
04192100;Canada;;34813;+1430;1583;+113;11807;21423;557;922;42;536062;14203;NorthAmerica
04192100;Netherlands;;32655;+1066;3684;+83;250;28721;1176;1906;215;154911;9041;Europe
04192100;Switzerland;;27740;+336;1393;+25;17800;8547;386;3205;161;221263;25566;Europe
04192100;Portugal;;20206;+521;714;+27;610;18882;224;1982;70;235878;23133;Europe
04192100;India;;17615;+1250;559;+38;2854;14202;;13;0.4;401586;291;Asia
04192100;Peru;;15628;+1208;400;+52;6811;8417;167;474;12;143745;4360;SouthAmerica
04192100;Ireland;;15251;+493;610;+39;77;14564;294;3089;124;90646;18358;Europe
04192100;Austria;;14749;+78;452;+9;10501;3796;204;1638;50;179243;19902;Europe
04192100;Sweden;;14385;+563;1540;+29;550;12295;450;1424;152;74600;7387;Europe
04192100;Israel;;13491;+226;172;+8;3754;9565;146;1559;20;187250;21634;Asia
04192100;Japan;;10797;+501;236;+14;1159;9402;217;85;2;112816;892;Asia
04192100;S. Korea;;10661;+8;234;+2;8042;2385;55;208;5;559109;10905;Asia
04192100;Chile;;10088;+358;133;+7;4338;5617;360;528;7;113649;5945;SouthAmerica
04192100;Ecuador;;9468;+446;474;+18;1061;7933;124;537;27;31809;1803;SouthAmerica
04192100;Saudi Arabia;;9362;+1088;97;+5;1398;7867;97;269;3;180000;5170;Asia
04192100;Poland;;9287;+545;360;+13;1040;7887;160;245;10;204246;5397;Europe
04192100;Romania;;8746;+328;451;+30;1892;6403;256;455;23;93611;4866;Europe
04192100;Pakistan;;8348;+710;168;+25;1868;6312;46;38;0.8;98522;446;Asia
04192100;Mexico;;7497;+622;650;+104;2627;4220;207;58;5;49167;381;NorthAmerica
04192100;Denmark;;7384;+142;355;+9;4141;2888;76;1275;61;94277;16277;Europe
04192100;Norway;;7078;+42;165;+1;32;6881;58;1306;30;142166;26224;Europe
04192100;UAE;;6781;+479;41;+4;1286;5454;1;686;4;767000;77550;Asia
04192100;Czechia;;6701;+95;186;+5;1298;5217;84;626;17;168096;15697;Europe
04192100;Australia;;6612;+26;71;+1;4230;2311;48;259;3;420996;16510;Australia/Oceania
04192100;Singapore;;6588;+596;11;;768;5809;22;1126;2;94796;16203;Asia
04192100;Indonesia;;6575;+327;582;+47;686;5307;;24;2;42219;154;Asia
04192100;Serbia;;6318;+324;122;+5;753;5443;120;723;14;38701;4429;Europe
04192100;Philippines;;6259;+172;409;+12;572;5278;1;57;4;59928;547;Asia
04192100;Ukraine;;5449;+343;141;+8;347;4961;45;125;3;57111;1306;Europe
04192100;Qatar;;5448;+440;8;;518;4922;37;1891;3;62538;21707;Asia
04192100;Malaysia;;5389;+84;89;+1;3197;2103;46;167;3;103892;3210;Asia
04192100;Belarus;;4779;;47;+2;494;4238;65;506;5;98231;10396;Europe
04192100;Dominican Republic;;4680;+345;226;+9;363;4091;146;431;21;15583;1436;NorthAmerica
04192100;Panama;;4273;+63;120;+4;140;4013;96;990;28;19091;4425;NorthAmerica
04192100;Finland;;3783;+102;94;+4;1700;1989;68;683;17;57300;10342;Europe
04192100;Colombia;;3621;;166;;691;2764;98;71;3;59002;1160;SouthAmerica
04192100;Luxembourg;;3550;+13;73;+1;627;2850;31;5671;117;33666;53781;Europe
04192100;South Africa;;3158;+124;54;+2;903;2201;36;53;0.9;114711;1934;Africa
04192100;Egypt;;3144;+112;239;+15;732;2173;;31;2;55000;537;Africa
04192100;Morocco;;2855;+170;141;+4;327;2387;1;77;4;14189;384;Africa
04192100;Argentina;;2839;;132;;709;1998;123;63;3;32712;724;SouthAmerica
04192100;Thailand;;2765;+32;47;;1928;790;61;40;0.7;100498;1440;Asia
04192100;Algeria;;2629;+95;375;+8;1047;1207;40;60;9;6500;148;Africa
04192100;Moldova;;2472;+121;67;+10;457;1948;80;613;17;10488;2600;Europe
04192100;Bangladesh;;2456;+312;91;+7;75;2290;1;15;0.6;23941;145;Asia
04192100;Greece;;2235;;113;+3;269;1853;67;214;11;53290;5113;Europe
04192100;Hungary;;1916;+82;189;+17;250;1477;61;198;20;46353;4798;Europe
04192100;Kuwait;;1915;+164;7;+1;305;1603;38;448;2;;;Asia
04192100;Bahrain;;1881;+108;7;;759;1115;2;1105;4;85126;50028;Asia
04192100;Croatia;;1871;+39;47;+8;709;1115;23;456;11;24186;5891;Europe
04192100;Iceland;;1771;+11;9;;1291;471;3;5190;26;41091;120416;Europe
04192100;Kazakhstan;;1676;+61;17;;400;1259;22;89;0.9;100878;5373;Asia
04192100;Uzbekistan;;1543;+53;5;;225;1313;8;46;0.1;136000;4063;Asia
04192100;Iraq;;1539;+26;82;;1009;448;;38;2;56147;1396;Asia
04192100;Estonia;;1528;+16;40;+2;164;1324;10;1152;30;40333;30405;Europe
04192100;New Zealand;;1431;+9;12;+1;912;507;18;297;2;83224;17258;Australia/Oceania
04192100;Azerbaijan;;1398;+25;19;+1;712;667;21;138;2;95747;9443;Asia
04192100;Slovenia;;1330;+13;74;+4;192;1064;26;640;36;41265;19849;Europe
04192100;Lithuania;;1298;+59;35;+2;242;1021;14;477;13;64035;23522;Europe
04192100;Armenia;;1291;+43;20;;545;726;30;436;7;12680;4279;Asia
04192100;Bosnia and Herzegovina;;1285;+17;48;+1;347;890;4;392;15;17818;5431;Europe
04192100;Oman;;1266;+86;7;+1;233;1026;3;248;1;;;Asia
04192100;North Macedonia;;1207;+37;51;+2;179;977;15;579;24;11870;5697;Europe
04192100;Slovakia;;1161;+72;12;+1;229;920;10;213;2;44278;8110;Europe
04192100;Cuba;;1035;+49;34;+2;255;746;16;91;3;25309;2234;NorthAmerica
04192100;Hong Kong;;1026;+2;4;;602;420;8;137;0.5;131786;17579;Asia
04192100;Cameroon;;1017;;42;;305;670;33;38;2;;;Africa
04192100;Afghanistan;;996;+63;33;+3;131;832;7;26;0.8;6422;165;Asia
04192100;Bulgaria;;894;+16;42;+1;161;691;36;129;6;26417;3802;Europe
