date;country;empty;totalC;newC;totalD;newD;totalR;activeC;serious;1MpopC;1MpopD;totalT;tests1M;continent
04140600;Venezuela;;189;;9;;110;70;6;7;0.3;203108;7143;SouthAmerica
04140600;Faeroe Islands;;184;;;;157;27;;3766;;5509;112744;Europe
04140600;Guatemala;;167;+11;5;;19;143;3;9;0.3;1134;63;NorthAmerica
04140600;Paraguay;;159;+12;7;+1;22;130;1;22;1.0;3394;476;SouthAmerica
04140600;Martinique;;157;;6;;50;101;19;418;16;;;NorthAmerica
04140600;Guadeloupe;;145;;8;;67;70;13;362;20;;;NorthAmerica
04140600;El Salvador;;137;;6;;22;109;2;21;0.9;6729;1037;NorthAmerica
04140600;Brunei;;136;;1;;107;28;2;311;2;10167;23240;Asia
04140600;Gibraltar;;129;;;;93;36;1;3829;;1649;48945;Europe
04140600;Rwanda;;127;;;;42;85;;10;;1966;152;Africa
04140600;Mali;;123;;10;;26;87;;6;0.5;;;Africa
04140600;Cambodia;;122;;;;77;45;1;7;;5768;345;Asia
04140600;Trinidad and Tobago;;113;;8;;16;89;;81;6;1126;805;NorthAmerica
04140600;Madagascar;;106;;;;21;85;1;4;;;;Africa
04140600;Monaco;;93;;1;;6;86;5;2370;25;;;Europe
04140600;Aruba;;92;;;;32;60;1;862;;1145;10724;NorthAmerica
04140600;French Guiana;;86;;;;51;35;1;288;;;;SouthAmerica
04140600;Liechtenstein;;79;;1;;55;23;;2072;26;900;23605;Europe
04140600;Togo;;77;;3;;29;45;;9;0.4;2739;331;Africa
04140600;Ethiopia;;74;;3;;14;57;;0.6;0.03;4110;36;Africa
04140600;Jamaica;;73;;4;;19;50;;25;1;1199;405;NorthAmerica
04140600;Barbados;;72;;4;;13;55;4;251;14;839;2920;NorthAmerica
04140600;Myanmar;;62;;4;;2;56;;1;0.07;1406;26;Asia
04140600;Congo;;60;;5;;5;50;;11;0.9;;;Africa
04140600;Somalia;;60;;2;;2;56;2;4;0.1;;;Africa
04140600;Liberia;;59;;6;;4;49;;12;1;;;Africa
04140600;Bermuda;;57;;5;;30;22;3;915;80;416;6680;NorthAmerica
04140600;Gabon;;57;;1;;1;55;;26;0.4;;;Africa
04140600;French Polynesia;;55;;;;;55;1;196;;920;3275;Australia/Oceania
04140600;Cayman Islands;;54;;1;;6;47;3;822;15;580;8825;NorthAmerica
04140600;Uganda;;54;;;;7;47;;1;;5025;110;Africa
04140600;Sint Maarten;;52;+2;9;;5;38;2;1213;210;134;3125;NorthAmerica
04140600;Bahamas;;49;;8;;6;35;1;125;20;;;NorthAmerica
04140600;Tanzania;;49;;3;;7;39;;0.8;0.05;;;Africa
04140600;Guyana;;47;;6;;8;33;5;60;8;213;271;SouthAmerica
04140600;Zambia;;45;;2;;30;13;1;2;0.1;1653;90;Africa
04140600;Macao;;45;;;;10;35;1;69;;;;Asia
04140600;Haiti;;40;;3;;;37;;4;0.3;365;32;NorthAmerica
04140600;Guinea-Bissau;;38;;;;;38;;19;;1500;762;Africa
04140600;Benin;;35;;1;;5;29;;3;0.08;;;Africa
04140600;Eritrea;;34;;;;;34;;10;;;;Africa
04140600;Saint Martin;;32;;2;;11;19;5;828;52;;;NorthAmerica
04140600;Mongolia;;30;+13;;;11;19;;9;;1000;305;Asia
04140600;Sudan;;29;;4;;4;21;;0.7;0.09;;;Africa
04140600;Libya;;26;;1;;9;16;;4;0.1;545;79;Africa
04140600;Syria;;25;;2;;5;18;;1;0.1;;;Asia
04140600;Antigua and Barbuda;;23;;2;;3;18;1;235;20;73;745;NorthAmerica
04140600;Chad;;23;;;;2;21;;1;;;;Africa
04140600;Equatorial Guinea;;21;;;;4;17;;15;;854;609;Africa
04140600;Mozambique;;21;;;;2;19;;0.7;;683;22;Africa
04140600;Maldives;;20;;;;14;6;;37;;;;Asia
04140600;Angola;;19;;2;;4;13;;0.6;0.06;;;Africa
04140600;Laos;;19;;;;;19;;3;;1140;157;Asia
04140600;Belize;;18;;2;;;16;1;45;5;567;1426;NorthAmerica
04140600;New Caledonia;;18;;;;1;17;;63;;2608;9135;Australia/Oceania
04140600;Zimbabwe;;17;;3;;;14;;1;0.2;604;41;Africa
04140600;Malawi;;16;;2;;;14;1;0.8;0.1;314;16;Africa
